Name,Team,Pos
Nikola Jokic,DEN,PF-C
Damian Lillard,POR,PG
Stephen Curry,GSW,PG-SG
Chris Paul,PHO,PG
Trae Young,ATL,PG
Joel Embiid,PHI,PF-C
Kawhi Leonard,LAC,SG-SF
Giannis Antetokounmpo,MIL,PF-C
Rudy Gobert,UTA,C
Jayson Tatum,BOS,SF-PF
Kyrie Irving,BKN,PG-SG
Luka Doncic,DAL,PG-SG
Khris Middleton,MIL,SF-PF
Bradley Beal,WAS,SG-SF
Paul George,LAC,SF-PF
Nikola Vucevic,CHI,C
Devin Booker,PHO,SG-SF
Deandre Ayton,PHO,C
Julius Randle,NYK,PF-C
James Harden,BKN,PG-SG
Bam Adebayo,MIA,PF-C
Tobias Harris,PHI,SF-PF
Mikal Bridges,PHO,SG-SF
Jrue Holiday,MIL,PG-SG
Domantas Sabonis,IND,PF-C
Russell Westbrook,WAS,PG
Kevin Durant,BKN,SF-PF
Clint Capela,ATL,C
John Collins,ATL,PF-C
Zach LaVine,CHI,SG-SF
Michael Porter Jr.,DEN,SF-PF
Jimmy Butler,MIA,SF-PF
Jonas Valanciunas,MEM,C
Brook Lopez,MIL,C
Donovan Mitchell,UTA,PG-SG
Terry Rozier,CHA,PG-SG
Karl-Anthony Towns,MIN,C
Draymond Green,GSW,PF-C
Robert Covington,POR,PF-C
Norman Powell,POR,SG-SF
Kyle Anderson,MEM,SF-PF
Brandon Ingram,NOR,SF-PF
Kelly Olynyk,HOU,PF-C
T.J. McConnell,IND,PG-SG
DeMar DeRozan,SAS,SG-SF-PF
Jaylen Brown,BOS,SG-SF
Richaun Holmes,SAC,PF-C
Zion Williamson,NOR,PF
Andrew Wiggins,GSW,SG-SF
Buddy Hield,SAC,SG-SF
LeBron James,LAL,PG-SG-SF
Nicolas Batum,LAC,SF-PF
Jordan Clarkson,UTA,PG-SG
Dejounte Murray,SAS,PG-SG
Bojan Bogdanovic,UTA,SF-PF
Joe Ingles,UTA,SG-SF
Fred VanVleet,TOR,PG-SG
Danny Green,PHI,SG-SF
Nerlens Noel,NYK,PF-C
De'Aaron Fox,SAC,PG
Enes Kanter,POR,C
Pascal Siakam,TOR,PF-C
Malcolm Brogdon,IND,PG-SG
Royce O'Neale,UTA,SF-PF
Chris Boucher,TOR,PF-C
Kevin Huerter,ATL,SG-SF
Joe Harris,BKN,SG-SF
Ben Simmons,PHI,PG
Miles Bridges,CHA,SF-PF
Ivica Zubac,LAC,C
PJ Washington,CHA,SF-PF-C
Myles Turner,IND,PF-C
Anthony Edwards,MIN,SG-SF
Jakob Poeltl,SAS,C
Mike Conley,UTA,PG
Thaddeus Young,CHI,PF-C
Lonzo Ball,NOR,PG-SG
Collin Sexton,CLE,PG-SG
Jarrett Allen,CLE,C
Dennis Schroder,LAL,PG
Dillon Brooks,MEM,SG-SF
Ja Morant,MEM,PG
C.J. McCollum,POR,PG-SG
Tyrese Haliburton,SAC,PG-SG
Reggie Jackson,LAC,PG-SG
Jamal Murray,DEN,PG-SG
Delon Wright,SAC,PG-SG-SF
Kristaps Porzingis,DAL,PF-C
R.J. Barrett,NYK,SG-SF
Duncan Robinson,MIA,SG-SF
Jae'Sean Tate,HOU,SG-SF-PF
Bobby Portis,MIL,PF-C
Jerami Grant,DET,SF-PF
Bogdan Bogdanovic,ATL,SG-SF-PF
Harrison Barnes,SAC,SF-PF
Coby White,CHI,PG-SG
Robert Williams,BOS,C
Ricky Rubio,MIN,PG
Seth Curry,PHI,PG-SG
Justin Holiday,IND,SG-SF
Montrezl Harrell,LAL,PF-C
LaMelo Ball,CHA,PG-SG
Kyle Lowry,TOR,PG
Jae Crowder,PHO,SF-PF
Tim Hardaway Jr.,DAL,SG-SF
Carmelo Anthony,POR,SF-PF
Matisse Thybulle,PHI,SG-SF
Darius Garland,CLE,PG
Caris LeVert,IND,SG-SF
